Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri May 14 2021,8:00p,Orlando Magic,,Philadelphia 76ers,,,,,
Fri May 14 2021,9:00p,Toronto Raptors,,Dallas Mavericks,,,,,
Fri May 14 2021,9:00p,Los Angeles Clippers,,Houston Rockets,,,,,
Fri May 14 2021,9:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Fri May 14 2021,10:00p,New Orleans Pelicans,,Golden State Warriors,,,,,
Sat May 15 2021,,Chicago Bulls,,Brooklyn Nets,,,,,
Sat May 15 2021,,Los Angeles Lakers,,Indiana Pacers,,,,,
Sat May 15 2021,,Miami Heat,,Milwaukee Bucks,,,,,
Sat May 15 2021,,Boston Celtics,,Minnesota Timberwolves,,,,,
Sat May 15 2021,,Charlotte Hornets,,New York Knicks,,,,,
Sat May 15 2021,,Phoenix Suns,,San Antonio Spurs,,,,,
Sun May 16 2021,,Houston Rockets,,Atlanta Hawks,,,,,
Sun May 16 2021,,Cleveland Cavaliers,,Brooklyn Nets,,,,,
Sun May 16 2021,,Milwaukee Bucks,,Chicago Bulls,,,,,
Sun May 16 2021,,Miami Heat,,Detroit Pistons,,,,,
Sun May 16 2021,,Memphis Grizzlies,,Golden State Warriors,,,,,
Sun May 16 2021,,Dallas Mavericks,,Minnesota Timberwolves,,,,,
Sun May 16 2021,,Los Angeles Lakers,,New Orleans Pelicans,,,,,
Sun May 16 2021,,Boston Celtics,,New York Knicks,,,,,
Sun May 16 2021,,Los Angeles Clippers,,Oklahoma City Thunder,,,,,
Sun May 16 2021,,Orlando Magic,,Philadelphia 76ers,,,,,
Sun May 16 2021,,Denver Nuggets,,Portland Trail Blazers,,,,,
Sun May 16 2021,,Utah Jazz,,Sacramento Kings,,,,,
Sun May 16 2021,,Phoenix Suns,,San Antonio Spurs,,,,,
Sun May 16 2021,,Indiana Pacers,,Toronto Raptors,,,,,
Sun May 16 2021,,Charlotte Hornets,,Washington Wizards,,,,,
